Date,Ticker,Close,eligible_signal,label_available_at,target_excess_simple_20d_next_close,target_simple_20d_next_close,target_end_20d_next_close,vol_ann_120d,ma_gap_20d,momentum_20d,relative_momentum_20d,rsi_14d,risk_rank,stability_group,stable,Sector,pred_all_train,pred_stable_train,horizon,strategy,top_n,target_excess_simple_60d_next_close,target_simple_60d_next_close,target_end_60d_next_close,ma_gap_60d,momentum_60d,relative_momentum_60d,rsi_28d,target_excess_simple_120d_next_close,target_simple_120d_next_close,target_end_120d_next_close,ma_gap_120d,momentum_120d,relative_momentum_120d,rsi_56d
2025-03-20,LIN,450.2341613769531,True,2025-04-21,0.05828004959591331,-0.031592820020411645,2025-04-21,0.15320791,-0.004107469,-0.005678775,0.071527444,42.059673,1,Stable,True,Materials,-0.0012689593876099626,-0.0028477387407409497,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,TJX,114.11410522460938,True,2025-04-21,0.15756151435351412,0.06768864473718916,2025-04-21,0.15819757,-0.02543921,-0.05472439,0.020943657,29.93868,1,Stable,True,Consumer Discretionary,-0.002810667216426941,-0.005585497261037042,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,JNJ,156.9202423095703,True,2025-04-21,0.04886566645070639,-0.041007203165618566,2025-04-21,0.16084474,-0.008879474,0.020916937,0.097923584,43.288578,1,Stable,True,Health Care,-0.0012614790771599623,-0.002651205174640588,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,RSG,231.08253479003906,True,2025-04-21,0.11386621757659571,0.023993347960270747,2025-04-21,0.16097485,0.0054993103,0.01732654,0.09440055,46.04975,1,Stable,True,Industrials,-0.0030798954558219384,-0.0016532780207410389,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,ADP,288.026611328125,True,2025-04-21,0.05441990565657101,-0.03545296395975395,2025-04-21,0.16591877,-0.018431216,-0.041269265,0.035077382,35.492535,1,Stable,True,Industrials,0.00019817292256284604,-0.003551784219370254,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,CMS,70.40638732910156,True,2025-04-21,0.07082514399570267,-0.019047725620622288,2025-04-21,0.16694954,0.012649646,0.042291485,0.118644044,52.86228,1,Stable,True,Utilities,-0.0019386265092360528,-0.0019084690396026262,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,CME,255.38925170898438,True,2025-04-21,0.0784052253364958,-0.011467644279829157,2025-04-21,0.16948064,0.041446872,0.0786806,0.15296103,67.46826,1,Stable,True,Financials,-0.0028978001017716816,-0.003162692116199737,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,JNPR,35.939573289,True,2025-04-21,0.03411697502332972,-0.05575589459299524,2025-04-21,0.17001598,0.0078203725,0.0086164065,0.0858019,55.286137,1,Stable,True,Unknown,-0.002689628253344608,-0.001774322335357386,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,FANG,152.5859832763672,True,2025-04-21,-0.07511140517320394,-0.1649842747895289,2025-04-21,0.32386947,0.06066371,-0.015371523,0.061731514,50.833588,1,Stable,True,Energy,0.009175437252386716,-0.001712827323490409,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,HSY,157.1160125732422,True,2025-04-21,0.08562604816378566,-0.0042468214525392955,2025-04-21,0.31866395,-0.058395837,-0.009813437,0.0673605,40.26465,1,Stable,True,Consumer Staples,0.008687315754800728,0.01578537166257449,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,GILD,102.45457458496094,True,2025-04-21,0.06419126168312023,-0.02568160793320473,2025-04-21,0.24092898,-0.056112852,-0.03105455,0.045675438,28.676954,1,Stable,True,Health Care,0.008038660381696573,0.008692249912374172,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,DLTR,64.58999633789062,True,2025-04-21,0.283131319442226,0.1932584498259011,2025-04-21,0.37499475,-0.06093258,-0.15336223,-0.08925994,34.354897,1,Stable,True,Consumer Staples,0.00764890147796064,0.0005264607770636345,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,DVN,34.96919631958008,True,2025-04-21,-0.094636158310835,-0.18450902792715995,2025-04-21,0.3175729,0.032622322,-0.056071054,0.019518016,51.0261,1,Stable,True,Energy,0.006396117936530172,-0.0033542429588778824,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,ABT,122.79328918457031,True,2025-04-21,0.12273402815551454,0.03286115853918959,2025-04-21,0.20157525,-0.049732096,-0.047983747,0.028049229,27.147007,1,Stable,True,Health Care,0.006276162423423847,-0.0029184465895177526,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,BA,172.8300018310547,True,2025-04-21,-0.015511467075267016,-0.10538433669159197,2025-04-21,0.3323608,0.04347985,-0.04450466,0.03169701,48.505974,1,Stable,True,Industrials,0.0052539558667743305,-0.0024240750419773087,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,ACN,291.9197082519531,True,2025-04-21,0.008956532348408833,-0.08091633726791612,2025-04-21,0.27448034,-0.11188304,-0.21809058,-0.16879396,17.35487,1,Stable,True,Information Technology,0.005056651335408251,0.012911234106759735,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,MDT,86.93025970458984,True,2025-04-21,0.002621798177244672,-0.08725107143908029,2025-04-21,0.2146268,-0.011481449,0.037298273,0.11384192,47.10982,1,Stable,True,Health Care,0.004999712977040939,0.006861737294985437,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,MPC,147.7890167236328,True,2025-04-21,-0.06510186270741719,-0.15497473232374215,2025-04-21,0.33702004,0.055168144,-0.039931815,0.03647143,52.323483,1,Stable,True,Energy,0.004895464052924903,-0.0024830794339667124,20,all_train,10,,,,,,,,,,,,,,
2025-03-20,HSY,157.1160125732422,True,2025-04-21,0.08562604816378566,-0.0042468214525392955,2025-04-21,0.31866395,-0.058395837,-0.009813437,0.0673605,40.26465,1,Stable,True,Consumer Staples,0.008687315754800728,0.01578537166257449,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,ERIE,398.4150085449219,True,2025-04-21,0.05717277213258193,-0.03270009748374303,2025-04-21,0.3302061,-0.030667953,0.058079492,0.13367787,41.085224,1,Stable,True,Financials,0.004109988290479048,0.01363174302535646,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,ACN,291.9197082519531,True,2025-04-21,0.008956532348408833,-0.08091633726791612,2025-04-21,0.27448034,-0.11188304,-0.21809058,-0.16879396,17.35487,1,Stable,True,Information Technology,0.005056651335408251,0.012911234106759735,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,IT,418.7699890136719,True,2025-04-21,0.0017879139213413109,-0.08808495569498365,2025-04-21,0.22121973,-0.11743602,-0.16772003,-0.106364,16.448753,1,Stable,True,Information Technology,0.002185441571723298,0.012320644305963004,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,GILD,102.45457458496094,True,2025-04-21,0.06419126168312023,-0.02568160793320473,2025-04-21,0.24092898,-0.056112852,-0.03105455,0.045675438,28.676954,1,Stable,True,Health Care,0.008038660381696573,0.008692249912374172,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,MDT,86.93025970458984,True,2025-04-21,0.002621798177244672,-0.08725107143908029,2025-04-21,0.2146268,-0.011481449,0.037298273,0.11384192,47.10982,1,Stable,True,Health Care,0.004999712977040939,0.006861737294985437,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,ZTS,159.0153045654297,True,2025-04-21,-0.0063330475491208404,-0.0962059171654458,2025-04-21,0.24180733,-0.014811748,0.036462888,0.113036245,43.30702,1,Stable,True,Health Care,0.00152985911980015,0.006838816802779061,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,JKHY,172.13360595703125,True,2025-04-21,0.06485112961914824,-0.025021739997176717,2025-04-21,0.2016796,-0.00815355,0.0425269,0.118869886,52.516907,1,Stable,True,Financials,0.003476012147927527,0.0039147295316144986,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,CHD,106.01163482666016,True,2025-04-21,0.05244876132117399,-0.03742410829515097,2025-04-21,0.19307636,-0.015477995,0.03485574,0.11148444,38.15281,1,Stable,True,Consumer Staples,0.0025373817527059184,0.002670491437646791,20,stable_train,10,,,,,,,,,,,,,,
2025-03-20,GIS,53.68001937866211,True,2025-04-21,0.08360054562146163,-0.006272323994863327,2025-04-21,0.23045631,-0.04462299,-0.01486727,0.062243506,43.06307,1,Stable,True,Consumer Staples,0.002645626962701493,0.0026357421793754927,20,stable_train,10,,,,,,,,,,,,,,
2025-04-17,K,80.6425765421,True,2025-05-19,-0.1562610593584352,-0.00012134449729661602,2025-05-19,0.032798506,0.0005891535,0.00048584962,0.06998275,47.89916,1,Stable,True,Unknown,-0.0019186701974762516,-0.003505402087747629,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,EVRG,64.79463195800781,True,2025-05-19,-0.15360056708602082,0.0025391477751177667,2025-05-19,0.16842078,0.01761516,0.005884941,0.07536471,52.170105,1,Stable,True,Utilities,-0.0019186701974762516,-0.0014731811662010699,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,CMS,69.66114044189453,True,2025-05-19,-0.15042048391385282,0.00571923094728577,2025-05-19,0.18631348,-0.0008085182,-0.010584933,0.058855668,45.13407,1,Stable,True,Utilities,-0.0019186701974762516,-0.003102783937775284,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,WEC,103.05819702148438,True,2025-05-19,-0.14461248694654621,0.011527227914592375,2025-05-19,0.18978922,0.017006356,0.005379821,0.07486242,52.774113,1,Stable,True,Utilities,-0.0019186701974762516,-0.0017282042175387152,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,JNPR,34.1207287337,True,2025-05-19,-0.09474135998463412,0.06139835487650446,2025-05-19,0.19034784,-0.026499737,-0.050608408,0.017563092,33.208256,1,Stable,True,Unknown,-0.0016403022836335122,-0.002604980730712085,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,CME,251.54702758789062,True,2025-05-19,-0.08849464018307068,0.0676450746780679,2025-05-19,0.19058435,0.005867889,-0.01504458,0.05433812,50.34609,1,Stable,True,Financials,-0.0019186701974762516,-0.0029353986257573436,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,TJX,125.27521514892578,True,2025-05-19,-0.06347431468149672,0.09266540017964187,2025-05-19,0.19159442,0.03546485,0.09780657,0.16281119,65.38082,1,Stable,True,Consumer Discretionary,-0.0020673094074671753,0.0010686336596988145,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,KMB,134.8764190673828,True,2025-05-19,-0.1509994943659339,0.005140220495204684,2025-05-19,0.192539,0.022847785,0.02681918,0.09596287,53.28535,1,Stable,True,Consumer Staples,-0.0009311421831856171,-0.00017184209394203393,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,ATO,152.32693481445312,True,2025-05-19,-0.13416448014739718,0.02197523471374141,2025-05-19,0.19410382,0.03826776,0.044556443,0.11308936,59.945168,1,Stable,True,Utilities,-0.0018644446960073909,-0.0014136572127961713,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,DUK,115.61030578613281,True,2025-05-19,-0.1737477055049204,-0.017607990643781827,2025-05-19,0.19553259,0.022648547,0.013648385,0.083053105,55.370754,1,Stable,True,Utilities,-0.0019833299234933554,0.00029324925833362455,20,lowvol,10,,,,,,,,,,,,,,
2025-04-17,K,80.6425765421,True,2025-05-19,-0.1562610593584352,-0.00012134449729661602,2025-05-19,0.032798506,0.0005891535,0.00048584962,0.06998275,47.89916,1,Stable,True,Unknown,-0.0019186701974762516,-0.003505402087747629,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-04-17,EVRG,64.79463195800781,True,2025-05-19,-0.15360056708602082,0.0025391477751177667,2025-05-19,0.16842078,0.01761516,0.005884941,0.07536471,52.170105,1,Stable,True,Utilities,-0.0019186701974762516,-0.0014731811662010699,20,stable_lowvol,10,,,,,,,,,,,,,,
