horizon,fold,Date,scope,train_rows,max_train_label_end,max_label_available,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
60,6,2025-09-11,all_train,220525,2025-09-04,2025-09-04,-0.13622751985919015,,,0.0,-0.02671290714135814,-0.02671290714135814,1,-0.13622751985919015,1,213,213,0,1.0
60,6,2025-09-11,stable_train,95413,2025-09-04,2025-09-04,-0.0520633438981092,,,0.0,-0.003867285384911018,-0.003867285384911018,1,-0.0520633438981092,1,213,213,0,1.0
60,7,2025-12-05,all_train,226511,2025-11-28,2025-11-28,0.07108443693538816,,,1.0,0.05427757136878314,0.05427757136878314,1,0.07108443693538816,1,253,254,1,0.9960629921259843
60,7,2025-12-05,stable_train,98122,2025-11-28,2025-11-28,0.024678906889780753,,,1.0,,0.020205232036360432,0,0.024678906889780753,1,253,254,1,0.9960629921259843
60,8,2026-03-05,all_train,232491,2026-02-26,2026-02-26,-0.15938390467693728,,,0.0,-0.057566348354144675,-0.057566348354144675,1,-0.15938390467693728,1,256,258,2,0.9922480620155039
60,8,2026-03-05,stable_train,100756,2026-02-26,2026-02-26,-0.16546745351824374,,,0.0,-0.05244150244572321,-0.05244150244572321,1,-0.16546745351824374,1,256,258,2,0.9922480620155039
120,1,2024-07-01,all_train,184677,2024-06-24,2024-06-24,0.01717329024644992,,,1.0,,0.003213196931753603,0,0.01717329024644992,1,348,350,2,0.9942857142857143
120,1,2024-07-01,stable_train,74134,2024-06-24,2024-06-24,-0.05913016713788734,,,0.0,,-0.03196738261074225,0,-0.05913016713788734,1,348,350,2,0.9942857142857143
120,2,2024-12-19,all_train,196609,2024-12-12,2024-12-12,0.05194561058297185,,,1.0,0.039523790277785076,0.039523790277785076,1,0.05194561058297185,1,364,364,0,1.0
120,2,2024-12-19,stable_train,80890,2024-12-12,2024-12-12,0.041518994478399414,,,1.0,0.024156103418705856,0.024156103418705856,1,0.041518994478399414,1,364,364,0,1.0
120,3,2025-06-16,all_train,208551,2025-06-09,2025-06-09,-0.10051608199385771,,,0.0,,-0.028963698439786176,0,-0.10051608199385771,1,233,236,3,0.9872881355932204
120,3,2025-06-16,stable_train,88026,2025-06-09,2025-06-09,-0.0632845658741819,,,0.0,,-0.03890709574238915,0,-0.0632845658741819,1,233,236,3,0.9872881355932204
120,4,2025-12-05,all_train,220525,2025-11-28,2025-11-28,-0.033976093745860296,,,0.0,,0.010922405852180614,0,-0.033976093745860296,1,251,254,3,0.9881889763779528
120,4,2025-12-05,stable_train,95413,2025-11-28,2025-11-28,0.04623442875647771,,,1.0,,0.051579431603986564,0,0.04623442875647771,1,251,254,3,0.9881889763779528
