horizon,fold,Date,EntryDate,ExitDate,strategy,top_n,selected,status,return_settled,mdd,missing_weight,path_coverage,assumption_flat,assumption_loss50,assumption_loss100
20,15,2025-08-13,2025-08-14,2025-09-12,lowvol,10,10,settled_path,-0.011449331804366192,-0.030156334671165408,0.0,1.0,-0.011449331804366192,-0.011449331804366192,-0.011449331804366192
20,15,2025-08-13,2025-08-14,2025-09-12,stable_lowvol,10,10,settled_path,-0.011449331804366192,-0.030156334671165408,0.0,1.0,-0.011449331804366192,-0.011449331804366192,-0.011449331804366192
20,15,2025-08-13,2025-08-14,2025-09-12,all_train,10,10,settled_path,0.0267336776668457,-0.011205134516295123,0.0,1.0,0.0267336776668457,0.0267336776668457,0.0267336776668457
20,15,2025-08-13,2025-08-14,2025-09-12,stable_train,10,10,settled_path,0.017983268189373014,-0.020757982815597154,0.0,1.0,0.017983268189373014,0.017983268189373014,0.017983268189373014
20,16,2025-09-11,2025-09-12,2025-10-10,lowvol,10,10,settled_path,0.04330983188781634,-0.014503565040272504,0.0,1.0,0.04330983188781634,0.04330983188781634,0.04330983188781634
20,16,2025-09-11,2025-09-12,2025-10-10,stable_lowvol,10,10,settled_path,0.04330983188781634,-0.014503565040272504,0.0,1.0,0.04330983188781634,0.04330983188781634,0.04330983188781634
20,16,2025-09-11,2025-09-12,2025-10-10,all_train,10,10,settled_path,-0.01921488215104452,-0.05764996496842889,0.0,1.0,-0.01921488215104452,-0.01921488215104452,-0.01921488215104452
20,16,2025-09-11,2025-09-12,2025-10-10,stable_train,10,10,settled_path,0.01785766068737622,-0.017396688396884463,0.0,1.0,0.01785766068737622,0.01785766068737622,0.01785766068737622
20,17,2025-10-09,2025-10-10,2025-11-07,lowvol,10,10,settled_path,-0.010027411393201655,-0.03689706358861944,0.0,1.0,-0.010027411393201655,-0.010027411393201655,-0.010027411393201655
20,17,2025-10-09,2025-10-10,2025-11-07,stable_lowvol,10,10,settled_path,-0.010027411393201655,-0.03689706358861944,0.0,1.0,-0.010027411393201655,-0.010027411393201655,-0.010027411393201655
20,17,2025-10-09,2025-10-10,2025-11-07,all_train,10,10,settled_path,0.01646818260226457,-0.04255029603056759,0.0,1.0,0.01646818260226457,0.01646818260226457,0.01646818260226457
20,17,2025-10-09,2025-10-10,2025-11-07,stable_train,10,10,settled_path,-0.025444107670700444,-0.05238773621935788,0.0,1.0,-0.025444107670700444,-0.025444107670700444,-0.025444107670700444
20,18,2025-11-06,2025-11-07,2025-12-08,lowvol,10,10,settled_path,-0.030730166245679313,-0.0522676758351337,0.0,1.0,-0.030730166245679313,-0.030730166245679313,-0.030730166245679313
20,18,2025-11-06,2025-11-07,2025-12-08,stable_lowvol,10,10,settled_path,-0.030730166245679313,-0.0522676758351337,0.0,1.0,-0.030730166245679313,-0.030730166245679313,-0.030730166245679313
20,18,2025-11-06,2025-11-07,2025-12-08,all_train,10,10,settled_path,-0.002667645370418915,-0.023077089802816864,0.0,1.0,-0.002667645370418915,-0.002667645370418915,-0.002667645370418915
20,18,2025-11-06,2025-11-07,2025-12-08,stable_train,10,10,settled_path,0.0011763944952598137,-0.02446886762466627,0.0,1.0,0.0011763944952598137,0.0011763944952598137,0.0011763944952598137
20,19,2025-12-05,2025-12-08,2026-01-07,lowvol,10,10,unresolved_return,,,0.1,0.919047619047619,0.01610496632563955,-0.033895033674360454,-0.08389503367436045
20,19,2025-12-05,2025-12-08,2026-01-07,stable_lowvol,10,10,unresolved_return,,,0.1,0.919047619047619,0.01610496632563955,-0.033895033674360454,-0.08389503367436045
20,19,2025-12-05,2025-12-08,2026-01-07,all_train,10,10,settled_path,0.01677332487139349,-0.019291371298570503,0.0,1.0,0.01677332487139349,0.01677332487139349,0.01677332487139349
20,19,2025-12-05,2025-12-08,2026-01-07,stable_train,10,10,settled_path,0.0406286054710555,-0.0105185384920784,0.0,1.0,0.0406286054710555,0.0406286054710555,0.0406286054710555
20,20,2026-01-06,2026-01-07,2026-02-05,lowvol,10,10,settled_path,0.0537459895051593,-0.013365914607335161,0.0,1.0,0.0537459895051593,0.0537459895051593,0.0537459895051593
20,20,2026-01-06,2026-01-07,2026-02-05,stable_lowvol,10,10,settled_path,0.0537459895051593,-0.013365914607335161,0.0,1.0,0.0537459895051593,0.0537459895051593,0.0537459895051593
20,20,2026-01-06,2026-01-07,2026-02-05,all_train,10,10,settled_path,0.05447602460891956,-0.021319983605554982,0.0,1.0,0.05447602460891956,0.05447602460891956,0.05447602460891956
20,20,2026-01-06,2026-01-07,2026-02-05,stable_train,10,10,settled_path,0.02145971342047307,-0.021645203242454225,0.0,1.0,0.02145971342047307,0.02145971342047307,0.02145971342047307
20,21,2026-02-04,2026-02-05,2026-03-06,lowvol,10,10,settled_path,0.058846877092952575,-0.018948567814087713,0.0,1.0,0.058846877092952575,0.058846877092952575,0.058846877092952575
20,21,2026-02-04,2026-02-05,2026-03-06,stable_lowvol,10,10,settled_path,0.058846877092952575,-0.018948567814087713,0.0,1.0,0.058846877092952575,0.058846877092952575,0.058846877092952575
